"sample","median_RLE","IQR_RLE","condition"
"Primary_42",1.68470199610535,3.34901682112952,"Primary"
"Primary_43",-0.0335653644850491,2.15820857601193,"Primary"
"Primary_44",-0.0950150431154997,1.19179044301341,"Primary"
"Metastatic_64",-0.0599815194910835,1.38103671648636,"Metastatic"
"Metastatic_65",-0.0755688143257789,1.3447192343707,"Metastatic"
"Metastatic_66",-0.492315948816062,1.37993363093556,"Metastatic"
"Metastatic_67",-0.580964366807573,1.56341564044588,"Metastatic"
"Metastatic_68",-0.0160495132521223,1.17563406900305,"Metastatic"
"Metastatic_69",-0.291341594366077,1.09627497952348,"Metastatic"
"Metastatic_70",-0.990198236146024,1.98187034756198,"Metastatic"
"Metastatic_71",-0.191176166467347,1.51655162678055,"Metastatic"
"Metastatic_72",-0.343789301564752,1.24569659834992,"Metastatic"
"Metastatic_73",-0.37794149097531,1.47828027521794,"Metastatic"
"Metastatic_74",-0.427177536355727,1.42638267865074,"Metastatic"
"Metastatic_75",-0.281842916239691,1.45526143054809,"Metastatic"
"Metastatic_76",-0.665048630860387,1.54737586481874,"Metastatic"
"Metastatic_77",-0.597716653050591,1.50987176653696,"Metastatic"
"Metastatic_78",-0.360542062049955,1.04837080667558,"Metastatic"
"Metastatic_79",-0.126287984984311,1.18778780656259,"Metastatic"
