"gene"
"34171"
"34177"
"34172"
"8852"
"2584"
"34173"
"28757"
"13025"
"19478"
"37493"
"3288"
"13026"
"11979"
"26881"
"41497"
"41656"
"9257"
"28758"
"12998"
"14736"
"27217"
"15924"
"24906"
"27539"
"25962"
"21795"
"25134"
"41420"
"18611"
"22381"
"8755"
"34174"
"34176"
"34175"
"15283"
"12084"
"27318"
"38558"
"9329"
"10519"
"40260"
"31546"
"32058"
"22793"
"6434"
"837"
"31545"
"31549"
"27201"
"21796"
"12199"
"28100"
"22532"
"7725"
"37119"
"3289"
"12899"
"41237"
"41750"
"42241"
"5927"
"5936"
"29586"
"18047"
"10021"
"22258"
"20317"
"39668"
"27202"
"8319"
"10956"
"33625"
"25486"
"13104"
"20853"
"40261"
"27985"
"29286"
"30793"
"6598"
"7538"
"21466"
"4484"
"33198"
"31967"
"9064"
"21329"
"15550"
"22794"
"12169"
"6363"
"32247"
"22576"
"32129"
"7724"
"25824"
"37921"
"7307"
"8602"
"37699"
"25696"
"5210"
"14074"
"30929"
"18008"
"32248"
"26205"
"8849"
"12507"
"43371"
"25488"
"6880"
"2027"
"33328"
"92"
"33993"
"21844"
"32291"
"14943"
"34906"
"18640"
"22805"
"37693"
"38866"
"34620"
"19629"
"22274"
"25487"
"10917"
"6214"
"36941"
"13100"
"43203"
"25723"
"34100"
"784"
"33821"
"22502"
"27544"
"15427"
"10921"
"28499"
"11811"
"6079"
"6717"
"6312"
"22570"
"41953"
"36383"
"28102"
"5928"
"9466"
"2989"
"39510"
"36098"
"23687"
"14375"
"29237"
"19509"
"32626"
"25724"
"27060"
"18241"
"32627"
"6422"
"12968"
"5380"
"26339"
"29474"
"5433"
"22278"
"16239"
"30901"
"15225"
"7672"
"25879"
"1431"
"8958"
"16847"
"39018"
"39828"
"34791"
"34160"
"8327"
"8853"
"16973"
"24919"
"31547"
"11191"
"28375"
"8322"
"39139"
"33048"
"1432"
"7455"
"25142"
"31885"
"25101"
"22625"
"8881"
"5567"
"13095"
"24760"
"35038"
"9663"
"10993"
"42540"
"14095"
"5575"
"7340"
"33863"
"42032"
"34789"
"27405"
"7308"
"42235"
"13007"
"25701"
"8326"
"2787"
"29816"
"33922"
"16900"
"12898"
"32257"
"35293"
"28064"
"13209"
"13094"
"31269"
"6435"
"23375"
"26044"
"15655"
"32625"
"25958"
"30651"
"39217"
"24180"
"6382"
"1626"
"27373"
"41860"
"27843"
"21830"
"21829"
"13028"
"22786"
"8325"
"6235"
"16187"
"7299"
"11204"
"21477"
"25816"
"12792"
"40724"
"12646"
"32690"
"24101"
"12810"
"19510"
"26318"
"34670"
"8851"
"19201"
"30912"
"37366"
"13944"
"34570"
"752"
"17944"
"34765"
