"gene","variance","mean_expr"
"FGA",38.3069173519901,7.02410463238718
"FGB",35.1594233611828,6.64085272382134
"FGG",34.9501163941378,7.18485057438007
"ANKRD30A",33.5199674447176,7.72767235420943
"CRP",29.6733847270227,5.87309794054251
"ALB",27.2171089045196,8.40752274048691
"APOC3",26.9384629808402,3.64347652240793
"GC",26.870677886621,3.75598623149116
"ORM1",26.6681590170863,6.97095447558984
"SOX10",26.2276142634962,5.17282646442427
"MUCL1",26.0962577000663,8.07439973954552
"MGC39584",25.6239631632371,5.52300981527608
"TFF1",25.145517826385,5.6780462733211
"APOH",24.5916005007234,3.81835599604099
"STAC2",24.5797362350807,7.54969560329495
"CALML5",24.3571334913463,7.9089338751124
"KRT16",23.9392079281864,7.52722857702877
"KRT81",23.3876164036213,8.00290146347035
"PRAME",23.3740770294241,7.59868089273588
"KLK5",23.3410019701304,6.39928687401626
"KRT5",23.2331035270706,6.94094490379809
"APCS",23.0418901215273,3.72439930719418
"LINC00993",22.7202813182123,4.55712953114653
"SCGB2A2",22.3932050067473,8.04789525481928
"POTEKP",22.1639872788581,6.62354978794918
"KRT6A",21.5240054497937,5.50716943755026
"EN1",21.4734139589924,6.90785112875836
"MAGEA4",21.1188824475741,4.12930153174926
"APOA2",21.110583615807,4.47783505581983
"KRT6B",21.0871092897901,5.40724433309343
"GABRP",21.0781089107258,8.41416568043235
"APOA1",20.9934451980264,5.63934642962214
"RP11-206M11.7",20.9302629681385,5.65538986987476
"SNORA64",20.8984210564902,9.80315490008015
"SNORA21",20.744053626819,8.19661629599571
"CRABP1",20.5704623175544,6.34732057773413
"KLK6",20.4527487221986,5.52769264802652
"KNG1",20.4477971158829,4.5392590490117
"KRT14",20.3391791287807,5.43383903887559
"APOB",20.3351460252796,8.5027722206777
"KRT17",20.1693192744393,9.11034287257394
"CH507-528H12.1",20.0959072385851,3.20527231323895
"HMGCS2",20.0849654685052,6.8113327521708
"AGR2",19.9697336294698,10.798301269472
"PIP",19.8909816304451,5.59390452446978
