"gene","variance","mean_expr"
"ANKRD36BP1",23.3609321903448,7.2890776459923
"CLEC3A",21.4144201857356,5.66892953118542
"OR2A20P",19.7934892200814,6.11266271799894
"RP11-1143G9.4",18.910955900816,6.58287020041661
"CH507-528H12.1",18.4086117195867,5.72159047469409
"SOX10",18.0369845271353,7.21317936794726
"RP11-442H21.2",17.904692267989,4.11682582671481
"NSFP1",17.6062803551846,4.9180868314119
"RP11-311C24.1",17.4902608885611,3.35755737666833
"RP11-373L24.1",17.2392606895966,4.0217288692915
"MAGEA3",17.0406414041065,3.35188726059765
"BIVM-ERCC5",17.0194037571958,6.13202218133748
"MGC39584",16.7272757321509,6.74182012047703
"VGLL1",16.5779445110191,5.77136336358626
"RP11-468E2.1",16.2819234588969,4.88723839442757
"CTD-2207O23.3",16.27992189919,3.37067044407928
"FGB",15.9520602868212,3.9009368116534
"RP11-78A19.3",15.8831967171507,5.978746077808
"LY75-CD302",15.7965041707381,3.75644218483598
"HNRNPUL2-BSCL2",15.7874152783863,5.02405962587768
"ADAM1A",15.4854009849946,3.51735760507731
"RP11-334J6.7",15.4754710687895,7.62912628135265
"RP11-557C9.1",15.3972963826121,4.79034750291267
"SLC2A3P1",15.3659085518498,7.76143130325014
"RP11-49K24.9",15.0910554075525,4.11826136293707
"ART3",15.054597429248,6.12332470354818
"KLK6",15.045014546444,6.12152634125545
"IMPDH1P10",14.9982326268596,2.74908715489777
"FGG",14.9163571594514,4.08869962994591
"KRT81",14.8293509444868,8.2521759591059
"KRT1",14.8078016680413,4.61675997762181
"CRABP1",14.675383351357,6.88018355291363
"CASP14",14.6525866658332,6.57222722321286
"PAPPA-AS1",14.6466238734493,6.21586427618894
"SERPINB3",14.4281829841109,2.72183762173919
"RP11-706O15.7",14.4146523810608,3.85920662282342
"KLK5",14.4082234438321,7.42085154039757
"ANKRD30A",14.2645745136684,11.2687682610191
"KRT6A",14.2233572063036,6.67229133401604
"CSPG4P5",14.1927580134612,2.66063698297909
"ZIC5",14.1381447119915,5.04976066696138
"MAGEA6",14.1138300819304,3.54532991704346
"RN7SL314P",14.067040975817,6.99551635393985
"S100A7",14.0333331442836,5.55219046985846
"LINC01087",14.0199194713365,7.77756975345324
"TFF1",13.847244509351,5.31802223150306
"IGHV1-69",13.6963083149013,5.89124690112125
"PRAME",13.6444588018665,7.6308758688211
"BRINP3",13.615376701151,4.74771488530796
"FDCSP",13.6039966139279,6.05233404871313
"TBC1D3D",13.5067370794156,4.19443349951492
"RP11-464F9.1",13.4500417284851,6.55136779051549
"IGHV4-4",13.4422672588856,5.65322647752698
"RP11-358L22.2",13.4190129842898,2.54598017219513
"RP11-500M8.7",13.3972999457469,3.61610418501156
"RP11-629N8.5",13.1793621711073,5.42522970163117
"RP11-63M22.2",13.1258031015429,6.71732365798566
"RP11-27M24.1",13.0579495377736,4.57337759051184
"CDH12P2",13.0201194262242,3.87326076018342
"CSN3",12.9844524016903,2.96432974430934
"CTD-2541J13.2",12.9810177725041,4.52564732570457
"CRISP3",12.9604650528005,6.61071015590646
"MAGEA4",12.9564096962273,2.85408152931469
"ABCA13",12.9400668710983,7.96500749054151
"KLK7",12.9198179518397,7.13423784580873
"CH507-396I9.7",12.9147707416444,5.49912153322189
"RP11-603J24.9",12.9022846994731,6.39287219109763
"PTPRCAP",12.8960546403251,4.47434762204848
"RP11-206M11.7",12.8564724008944,4.61959434653937
"VN1R53P",12.8316345812508,7.95145096301224
"GSTM1",12.788525997175,5.56735655061839
"FDPSP2",12.7613120740133,4.32884596058972
"ATP8A2P1",12.7534340439678,5.40129770122227
"LINC00993",12.7347746593443,7.1110305240162
"OR4K8P",12.6880539526575,2.90690269040009
"CXADRP3",12.6052923277293,3.92563079673405
"IGHV1-69-2",12.6041719241823,6.93985097745462
"IGHV1-3",12.592110265934,4.55076177092308
"DSG1",12.5543220342002,6.89182477941114
"TBC1D3L",12.5473587098561,7.93847294996893
"RP11-497H16.5",12.5422415066691,5.26967421844378
"KLK11",12.4948807532671,5.26054979008815
"RP11-544M22.13",12.4455513195058,3.71211986845592
"LINC01152",12.440531228177,9.43193590842825
"TCEB3CL2",12.4298786082431,4.92516372337427
"IGHV1-24",12.4197773816984,6.19920516501691
"KRT16",12.3273740631344,7.29407526231414
"RP11-438J1.1",12.3187976651289,5.3887584156371
"CALML5",12.3057588006266,6.98458257004565
"DPYSL5",12.267440678343,4.58515882629132
"ANKRD30B",12.1783634818607,7.97920241700818
"GABRP",12.1750818088804,11.5727436229906
"FLJ36000",12.169330081762,3.15447829733467
"DSG3",12.1075488409991,8.72863749079749
"RP4-781K5.2",12.0792457084323,8.54835060936988
"RP5-1052I5.2",12.0689160361768,4.39402976655124
"AC107982.4",12.0679943205414,6.98658813849513
"IGLV1-44",12.0568932818594,7.16899045250753
"RP11-527H14.4",12.0524110689593,4.58698790180404
"RP11-351J23.1",12.0479746835573,4.50745294602738
"POTEC",12.0291695788316,5.56251553839911
"AP003900.6",12.0262500170127,3.11685583385122
"OLFM4",12.0240447354593,7.45342637730973
"IGHV3-21",12.017776787876,7.91691030463742
"NFYAP1",12.0071122249417,2.34626041407744
"BLACAT1",12.0053912478817,6.63402524704065
"RP11-184J23.2",11.9962977642712,8.75179715136512
"CYP2B7P",11.9793700163945,7.12026552578849
"OR4K12P",11.884988244634,3.87568334114141
"MAGEA2",11.8759769135301,3.4419583357333
"SLC30A8",11.8167010885121,6.71041770285721
"TLX1",11.7975272235855,3.93179824286993
"RP11-19E11.1",11.7967710808726,5.620485139636
