"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0007608","sensory perception of smell","12/28","456/18870",7.36275103369365e-13,1.00133414058234e-10,7.13024310631385e-11,"OR8G5/OR8B4/OR8D2/OR8D1/OR8B12/OR8A1/OR10D3/OR8B3/OR8B8/OR8G1/CNGA2/OR8B2",12
"BP","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","11/28","431/18870",1.1773521268012e-11,8.00599446224817e-10,5.70086292977424e-10,"OR8G5/OR8B4/OR8D2/OR8D1/OR8B12/OR8A1/OR10D3/OR8B3/OR8B8/OR8G1/OR8B2",11
"BP","GO:0050907","detection of chemical stimulus involved in sensory perception","11/28","479/18870",3.65949367774626e-11,1.65897046724497e-09,1.18131023983388e-09,"OR8G5/OR8B4/OR8D2/OR8D1/OR8B12/OR8A1/OR10D3/OR8B3/OR8B8/OR8G1/OR8B2",11
"BP","GO:0033234","negative regulation of protein sumoylation","2/28","11/18870",0.000115817023690078,0.00315022304437013,0.00224319287989204,"MAGEA2/MAGEA2B",2
"BP","GO:1901984","negative regulation of protein acetylation","2/28","11/18870",0.000115817023690078,0.00315022304437013,0.00224319287989204,"MAGEA2/MAGEA2B",2
"BP","GO:0051443","positive regulation of ubiquitin-protein transferase activity","2/28","22/18870",0.000481543629830652,0.0109149889428281,0.00777228314814386,"MAGEA2/MAGEA2B",2
"BP","GO:0033233","regulation of protein sumoylation","2/28","24/18870",0.000574295845607656,0.0111577478575202,0.0079451455332187,"MAGEA2/MAGEA2B",2
"BP","GO:0051438","regulation of ubiquitin-protein transferase activity","2/28","39/18870",0.00152079493930276,0.0258535139681469,0.0184096229494545,"MAGEA2/MAGEA2B",2
"BP","GO:1901983","regulation of protein acetylation","2/28","42/18870",0.00176222597472035,0.0266291925068852,0.0189619637045932,"MAGEA2/MAGEA2B",2
"MF","GO:0005549","odorant binding","10/30","122/18496",2.87843997890935e-15,7.77178794305526e-14,5.45388627582825e-14,"OR8G5/OR8B4/OR8D2/OR8D1/OR8B12/OR8A1/OR8B3/OR8B8/OR8G1/OR8B2",10
"MF","GO:0004984","olfactory receptor activity","11/30","429/18496",3.38107138014091e-11,4.56444636319023e-10,3.20312025487034e-10,"OR8G5/OR8B4/OR8D2/OR8D1/OR8B12/OR8A1/OR10D3/OR8B3/OR8B8/OR8G1/OR8B2",11
"MF","GO:0042826","histone deacetylase binding","7/30","127/18496",1.08737309448028e-09,9.78635785032255e-09,6.867619544086e-09,"MAGEA12/MAGEA2/MAGEA3/MAGEA6/MAGEA2B/MAGEA10/MAGEA4",7
