"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0050907","detection of chemical stimulus involved in sensory perception","5/19","479/18870",8.93895557104015e-05,0.0169322061924481,0.0102442762502268,"OR2S2/OR13C7/CA6/OR5P2/OR5P3",5
"BP","GO:0030317","flagellated sperm motility","3/19","134/18870",0.000312184804913993,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0097722","sperm motility","3/19","134/18870",0.000312184804913993,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0048240","sperm capacitation","2/19","31/18870",0.000438929409341199,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1",2
"BP","GO:0060294","cilium movement involved in cell motility","3/19","158/18870",0.000505745492163416,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0001539","cilium or flagellum-dependent cell motility","3/19","163/18870",0.000553857211902508,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0060285","cilium-dependent cell motility","3/19","163/18870",0.000553857211902508,0.0169322061924481,0.0102442762502268,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0050911","detection of chemical stimulus involved in sensory perception of smell","4/19","431/18870",0.000792258042011695,0.0211929026238128,0.012822070943084,"OR2S2/OR13C7/OR5P2/OR5P3",4
"BP","GO:0007608","sensory perception of smell","4/19","456/18870",0.000977670338920716,0.0215440052788417,0.0130344940939377,"OR2S2/OR13C7/OR5P2/OR5P3",4
"BP","GO:0003341","cilium movement","3/19","203/18870",0.0010467967923258,0.0215440052788417,0.0130344940939377,"ROPN1B/ROPN1/SLC22A16",3
"BP","GO:0009566","fertilization","3/19","207/18870",0.00110740214050121,0.0215440052788417,0.0130344940939377,"ROPN1B/SLC22A16/OVCH2",3
"BP","GO:0061512","protein localization to cilium","2/19","72/18870",0.00235408812216788,0.0419812381786605,0.0253993718444429,"ROPN1B/ROPN1",2
"MF","GO:0004984","olfactory receptor activity","4/20","429/18496",0.00102954329878794,0.0483885350430333,0.0335956234341329,"OR2S2/OR13C7/OR5P2/OR5P3",4
