"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0008277","regulation of G protein-coupled receptor signaling pathway","1/1","139/18870",0.00736618971913083,0.0162692103868574,NA,"RGS6",1
"BP","GO:0043547","positive regulation of GTPase activity","1/1","239/18870",0.0126656067832537,0.0162692103868574,NA,"RGS6",1
"BP","GO:0043087","regulation of GTPase activity","1/1","307/18870",0.0162692103868574,0.0162692103868574,NA,"RGS6",1
"MF","GO:0005096","GTPase activator activity","1/1","272/18496",0.0147058823529412,0.0262759515570935,NA,"RGS6",1
"MF","GO:0003924","GTPase activity","1/1","333/18496",0.018003892733564,0.0262759515570935,NA,"RGS6",1
"MF","GO:0030695","GTPase regulator activity","1/1","486/18496",0.0262759515570935,0.0262759515570935,NA,"RGS6",1
"MF","GO:0060589","nucleoside-triphosphatase regulator activity","1/1","486/18496",0.0262759515570935,0.0262759515570935,NA,"RGS6",1
