"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0015015","heparan sulfate proteoglycan biosynthetic process, enzymatic modification","1/3","12/18870",0.00190667816130907,0.0231554720630312,0.00487483622379605,"HS3ST5",1
"BP","GO:0048070","regulation of developmental pigmentation","1/3","15/18870",0.00238296871071664,0.0231554720630312,0.00487483622379605,"ADAMTS20",1
"BP","GO:0030201","heparan sulfate proteoglycan metabolic process","1/3","16/18870",0.00254169854863062,0.0231554720630312,0.00487483622379605,"HS3ST5",1
"BP","GO:0120305","regulation of pigmentation","1/3","17/18870",0.00270041154875522,0.0231554720630312,0.00487483622379605,"ADAMTS20",1
"BP","GO:0051923","sulfation","1/3","22/18870",0.00349372401380166,0.0231554720630312,0.00487483622379605,"HS3ST5",1
"BP","GO:0030318","melanocyte differentiation","1/3","25/18870",0.00396950949651964,0.0231554720630312,0.00487483622379605,"ADAMTS20",1
"BP","GO:0015012","heparan sulfate proteoglycan biosynthetic process","1/3","33/18870",0.00523753034021157,0.0249933274457675,0.00526175314647738,"HS3ST5",1
"BP","GO:0050931","pigment cell differentiation","1/3","36/18870",0.00571276055903258,0.0249933274457675,0.00526175314647738,"ADAMTS20",1
"BP","GO:0046596","regulation of viral entry into host cell","1/3","49/18870",0.00777034254446829,0.0257471295492512,0.00542044832615814,"HS3ST5",1
"BP","GO:0048066","developmental pigmentation","1/3","50/18870",0.00792850039858684,0.0257471295492512,0.00542044832615814,"ADAMTS20",1
"BP","GO:0050819","negative regulation of coagulation","1/3","52/18870",0.00824476568544696,0.0257471295492512,0.00542044832615814,"HS3ST5",1
"BP","GO:0052372","modulation by symbiont of entry into host","1/3","56/18870",0.00887709459866615,0.0257471295492512,0.00542044832615814,"HS3ST5",1
"BP","GO:0030166","proteoglycan biosynthetic process","1/3","65/18870",0.0102988518197005,0.0257471295492512,0.00542044832615814,"HS3ST5",1
"BP","GO:0043903","regulation of biological process involved in symbiotic interaction","1/3","65/18870",0.0102988518197005,0.0257471295492512,0.00542044832615814,"HS3ST5",1
"BP","GO:0050818","regulation of coagulation","1/3","73/18870",0.0115614940021121,0.0269768193382617,0.00567933038700246,"HS3ST5",1
"BP","GO:0006029","proteoglycan metabolic process","1/3","90/18870",0.0142410419966952,0.0311522793677707,0.0065583746037412,"HS3ST5",1
"BP","GO:0007218","neuropeptide signaling pathway","1/3","110/18870",0.0173872462038998,0.0353359025090589,0.00743913737032819,"MCHR2",1
"BP","GO:0043473","pigmentation","1/3","115/18870",0.0181727498618017,0.0353359025090589,0.00743913737032819,"ADAMTS20",1
"BP","GO:1903900","regulation of viral life cycle","1/3","143/18870",0.0225638352999116,0.0402855581970997,0.00848117014675783,"HS3ST5",1
"BP","GO:0046718","viral entry into host cell","1/3","156/18870",0.0245980953058987,0.0402855581970997,0.00848117014675783,"HS3ST5",1
"BP","GO:0044272","sulfur compound biosynthetic process","1/3","161/18870",0.0253797508194147,0.0402855581970997,0.00848117014675783,"HS3ST5",1
"BP","GO:0044409","entry into host","1/3","163/18870",0.0256922960605513,0.0402855581970997,0.00848117014675783,"HS3ST5",1
"BP","GO:0050792","regulation of viral process","1/3","168/18870",0.0264733668152369,0.0402855581970997,0.00848117014675783,"HS3ST5",1
"BP","GO:0044000","movement in host","1/3","188/18870",0.0295934754412409,0.043157151685143,0.00908571614424063,"HS3ST5",1
"BP","GO:0051701","biological process involved in interaction with host","1/3","211/18870",0.033173350478591,0.0464426906700275,0.00977740856211104,"HS3ST5",1
"BP","GO:0050817","coagulation","1/3","229/18870",0.0359688423824042,0.0484195955147748,0.0101935990557421,"HS3ST5",1
"MF","GO:0034483","heparan sulfate sulfotransferase activity","1/3","15/18496",0.00243111725351608,0.0218800552816447,0.00255907079317482,"HS3ST5",1
"MF","GO:0008146","sulfotransferase activity","1/3","53/18496",0.00857230596810543,0.0318881141253453,0.00372960399126846,"HS3ST5",1
"MF","GO:0016782","transferase activity, transferring sulphur-containing groups","1/3","71/18496",0.0114724718184924,0.0318881141253453,0.00372960399126846,"HS3ST5",1
"MF","GO:0004222","metalloendopeptidase activity","1/3","110/18496",0.0177367504239444,0.0318881141253453,0.00372960399126846,"ADAMTS20",1
"MF","GO:0008528","G protein-coupled peptide receptor activity","1/3","125/18496",0.020139023614724,0.0318881141253453,0.00372960399126846,"MCHR2",1
"MF","GO:0001653","peptide receptor activity","1/3","132/18496",0.0212587427502302,0.0318881141253453,0.00372960399126846,"MCHR2",1
"MF","GO:0008237","metallopeptidase activity","1/3","185/18496",0.0297089489410127,0.0381972200670164,0.00446751111894928,"ADAMTS20",1
"MF","GO:1901681","sulfur compound binding","1/3","275/18496",0.0439466867107831,0.0494400225496309,0.00578245877773461,"HS3ST5",1
