"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0048706","embryonic skeletal system development","7/10","128/18870",6.60555068793485e-14,1.44661560065773e-11,6.04929378789823e-12,"HOXA5/HOXA3/HOXA1/HOXA6/HOXA11/HOXA9/HOXA7",7
"BP","GO:0048704","embryonic skeletal system morphogenesis","6/10","94/18870",2.68562871391633e-12,2.19157067490647e-10,9.16446280782804e-11,"HOXA5/HOXA3/HOXA1/HOXA11/HOXA9/HOXA7",6
"BP","GO:0009952","anterior/posterior pattern specification","7/10","219/18870",3.00215160946091e-12,2.19157067490647e-10,9.16446280782804e-11,"HOXA5/HOXA3/HOXA6/HOXA11/HOXA10/HOXA9/HOXA7",7
"BP","GO:0003002","regionalization","7/10","430/18870",3.43883368043395e-10,1.88276144003759e-08,7.87311921573035e-09,"HOXA5/HOXA3/HOXA6/HOXA11/HOXA10/HOXA9/HOXA7",7
"BP","GO:0048705","skeletal system morphogenesis","6/10","230/18870",6.19413753789368e-10,2.51497500127721e-08,1.05168385057014e-08,"HOXA5/HOXA3/HOXA1/HOXA11/HOXA9/HOXA7",6
"BP","GO:0007389","pattern specification process","7/10","475/18870",6.89034246925264e-10,2.51497500127721e-08,1.05168385057014e-08,"HOXA5/HOXA3/HOXA6/HOXA11/HOXA10/HOXA9/HOXA7",7
"BP","GO:0048562","embryonic organ morphogenesis","6/10","295/18870",2.76496077487076e-09,8.65037728138138e-08,3.61731710396626e-08,"HOXA5/HOXA3/HOXA1/HOXA11/HOXA9/HOXA7",6
"BP","GO:0048568","embryonic organ development","6/10","453/18870",3.58473774321873e-08,9.81321957206126e-07,4.10358136394775e-07,"HOXA5/HOXA3/HOXA1/HOXA11/HOXA9/HOXA7",6
"BP","GO:0060065","uterus development","3/10","23/18870",1.88749823581176e-07,4.59291237380862e-06,1.92061223994881e-06,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0009954","proximal/distal pattern formation","3/10","34/18870",6.3581280326017e-07,1.39243003913977e-05,5.82270672459313e-06,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0033574","response to testosterone","3/10","45/18870",1.50310535611086e-06,2.90961198963585e-05,1.21670869069127e-05,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0048732","gland development","5/10","443/18870",1.59430793952649e-06,2.90961198963585e-05,1.21670869069127e-05,"HOXA5/HOXA3/HOXA11/HOXA10/HOXA9",5
"BP","GO:0030850","prostate gland development","3/10","50/18870",2.07328086288525e-06,3.49268083824514e-05,1.46052983863171e-05,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0001655","urogenital system development","3/10","67/18870",5.04342437761741e-06,7.88935670498723e-05,3.29908211167454e-05,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0045638","negative regulation of myeloid cell differentiation","3/10","95/18870",1.44589701095449e-05,0.000211100963599355,8.82758175109056e-05,"HOXA5/HOXA9/HOXA7",3
"BP","GO:0030326","embryonic limb morphogenesis","3/10","120/18870",2.91329233260838e-05,0.000375300600494844,0.000156938967762804,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0035113","embryonic appendage morphogenesis","3/10","120/18870",2.91329233260838e-05,0.000375300600494844,0.000156938967762804,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0035107","appendage morphogenesis","3/10","146/18870",5.23244940512286e-05,0.000603108641958898,0.000252201162462985,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0035108","limb morphogenesis","3/10","146/18870",5.23244940512286e-05,0.000603108641958898,0.000252201162462985,"HOXA11/HOXA10/HOXA9",3
"BP","GO:0008584","male gonad development","3/10","150/18870",5.67121106341418e-05,0.000603246173069484,0.000252258673670008,"HOXA11/HOXA10/HOXA9",3
