"ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"BP","GO:0098974","postsynaptic actin cytoskeleton organization","3/3","17/18870",6.07314305040276e-10,5.5997951361802e-09,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0099188","postsynaptic cytoskeleton organization","3/3","20/18870",1.01814457021458e-09,5.5997951361802e-09,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0001895","retina homeostasis","3/3","83/18870",8.2059773031479e-08,3.00885834448756e-07,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0099173","postsynapse organization","3/3","196/18870",1.10368657629805e-06,3.03513808481963e-06,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0001894","tissue homeostasis","3/3","279/18870",3.19802692630561e-06,5.86304936489362e-06,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0060249","anatomical structure homeostasis","3/3","279/18870",3.19802692630561e-06,5.86304936489362e-06,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0007409","axonogenesis","3/3","448/18870",1.32945531195306e-05,2.08914406164053e-05,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0050808","synapse organization","3/3","483/18870",1.66683493092447e-05,2.29189803002114e-05,NA,"POTEI/POTEE/POTEF",3
"BP","GO:0021762","substantia nigra development","1/3","44/18870",0.00697930113126533,0.00853025693821318,NA,"POTEE",1
"BP","GO:0048857","neural nucleus development","1/3","67/18870",0.0106146131116015,0.0116760744227617,NA,"POTEE",1
"BP","GO:0030901","midbrain development","1/3","91/18870",0.0143985114788043,0.0143985114788043,NA,"POTEE",1
"CC","GO:0035267","NuA4 histone acetyltransferase complex","3/3","31/19886",3.43007930768231e-09,1.54353568845704e-08,NA,"POTEI/POTEE/POTEF",3
"CC","GO:0043189","H4/H2A histone acetyltransferase complex","3/3","31/19886",3.43007930768231e-09,1.54353568845704e-08,NA,"POTEI/POTEE/POTEF",3
"CC","GO:1902562","H4 histone acetyltransferase complex","3/3","45/19886",1.08282147666323e-08,3.24846442998968e-08,NA,"POTEI/POTEE/POTEF",3
"CC","GO:0000123","histone acetyltransferase complex","3/3","94/19886",1.02287330527023e-07,2.14572636379797e-07,NA,"POTEI/POTEE/POTEF",3
"CC","GO:0031248","protein acetyltransferase complex","3/3","104/19886",1.38961326417392e-07,2.14572636379797e-07,NA,"POTEI/POTEE/POTEF",3
"CC","GO:1902493","acetyltransferase complex","3/3","105/19886",1.43048424253198e-07,2.14572636379797e-07,NA,"POTEI/POTEE/POTEF",3
"CC","GO:0005884","actin filament","3/3","118/19886",2.03680322244568e-07,2.6187470002873e-07,NA,"POTEI/POTEE/POTEF",3
"CC","GO:0072562","blood microparticle","2/3","144/19886",0.000155479868008382,0.000174914851509429,NA,"POTEE/POTEF",2
"CC","GO:0005938","cell cortex","1/3","305/19886",0.0453124117574182,0.0453124117574182,NA,"POTEF",1
"MF","GO:0098973","structural constituent of postsynaptic actin cytoskeleton","3/3","10/18496",1.13807135070595e-10,4.55228540282381e-10,NA,"POTEI/POTEE/POTEF",3
"MF","GO:0099186","structural constituent of postsynapse","3/3","21/18496",1.2613624136991e-09,2.52272482739819e-09,NA,"POTEI/POTEE/POTEF",3
"MF","GO:0098918","structural constituent of synapse","3/3","27/18496",2.77404891734575e-09,3.69873188979433e-09,NA,"POTEI/POTEE/POTEF",3
"MF","GO:0005200","structural constituent of cytoskeleton","3/3","112/18496",2.1615768521075e-07,2.1615768521075e-07,NA,"POTEI/POTEE/POTEF",3
