GEN1,GEN2
LARP1BP1,RP11-139I14.2
LARP1BP1,OR6P1
LARP1BP1,LINC00700
LARP1BP1,RP11-238K6.1
LARP1BP1,MTND2P33
LARP1BP1,CTAGE1
LARP1BP1,CCDC11P1
LARP1BP1,NEFMP1
LARP1BP1,GAGE1
LARP1BP1,MTND5P7
LARP1BP1,RP5-921G16.1
LARP1BP1,MTND5P8
LARP1BP1,LA16c-60D12.2
LARP1BP1,RP11-897M7.2
LARP1BP1,AC079248.1
LARP1BP1,RP11-3N2.5
LARP1BP1,MTND5P23
LARP1BP1,SPATA31A7
LARP1BP1,CYLC2
LARP1BP1,CLLU1
LARP1BP1,LINC01206
LARP1BP1,RP11-5A1.1
LARP1BP1,AC011518.1
LARP1BP1,CTA-212A2.3
LARP1BP1,PRKRIRP8
LARP1BP1,HTN1
LARP1BP1,LINC00559
LARP1BP1,TMEM239
LARP1BP1,KNCN
LARP1BP1,MTND2P9
LARP1BP1,RP11-646E18.4
LARP1BP1,RP11-326K13.3
LARP1BP1,RP11-756P10.2
LARP1BP1,BOD1L2
LARP1BP1,MTND5P29
LARP1BP1,USP29
LARP1BP1,RP11-113I24.1
LARP1BP1,AL022344.5
LARP1BP1,RP11-474D1.3
LARP1BP1,RP11-334E15.1
LARP1BP1,RP11-753D20.4
LARP1BP1,FOXR2
LARP1BP1,RP11-666G4.1
LARP1BP1,OR2L3
LARP1BP1,RP11-78H18.2
LARP1BP1,GFY
LARP1BP1,NLRP9
LARP1BP1,MTND1P2
LARP1BP1,ZNF806
LARP1BP1,ETV3L
LARP1BP1,CRX
LARP1BP1,RP11-189E14.4
LARP1BP1,SLC10A2
LARP1BP1,OR2H1
LARP1BP1,HNRNPA1P38
LARP1BP1,LINC00837
LARP1BP1,LINC00703
LARP1BP1,RP11-544P1.3
LARP1BP1,AC068137.5
LARP1BP1,PRNT
LARP1BP1,MTND1P28
LARP1BP1,AC068279.3
LARP1BP1,RP11-67H2.1
LARP1BP1,CDH9
LARP1BP1,MAN1A2P1
