"gene","logFC","AveExpr","t","P.Value","adj.P.Val","is_DEG","is_Hub","Priority_Score"
"ANXA8L1",-1.16295414661749,7.29242445216672,-0.279927073473166,0.390195755541541,1,FALSE,FALSE,"BAJA"
"ANXA8",-1.10372207247924,6.77581423992422,-0.146658104001104,0.443647420872371,1,FALSE,FALSE,"BAJA"
"NPY4R",-0.344145482516788,3.77782051062963,0,0.913712859723574,1,FALSE,FALSE,"BAJA"
"KRT5",-3.62005453946991,7.99964009930344,-2.87431690299596,0.00243925393109561,0.0161260559071162,TRUE,FALSE,"MEDIA (Solo DEG)"
"RP11-19E11.1",-1.0781298576087,4.85765741019588,-0.0952840190161533,0.468481300917541,1,FALSE,FALSE,"BAJA"
"RASD2",0.076501560113071,9.12787817151768,0,0.987317282051482,1,FALSE,FALSE,"BAJA"
"EN1",-1.79909530716712,7.43400164311855,-0.912205643963508,0.1827613291382,0.632959207825103,FALSE,FALSE,"BAJA"
"KCNQ4",-0.573966102687531,6.95864300964932,0,0.808898259387222,1,FALSE,FALSE,"BAJA"
"STAC2",-0.6167593048078,7.7300686075312,0,0.701945918741849,1,FALSE,FALSE,"BAJA"
"NKX1-2",-0.617585737299669,5.3612650794575,0,0.706282919642263,1,FALSE,FALSE,"BAJA"
"EEF1DP5",-0.0546676386302454,3.09221002497744,0,0.983974774612242,1,FALSE,FALSE,"BAJA"
"KRT87P",-0.341979026673462,4.70996459162465,0,0.886185131438233,1,FALSE,FALSE,"BAJA"
"GSDMC",-0.103091019220697,7.92546201701613,0,0.959361232737198,1,FALSE,FALSE,"BAJA"
"KRT83",1.46245291266286,3.71220507521439,0.724879310433403,0.235143219664531,0.765754589320165,FALSE,FALSE,"BAJA"
"PPP1R14C",-0.840300774874931,7.34397150568274,0,0.592402505982321,1,FALSE,FALSE,"BAJA"
"KRT81",-0.249274495635559,8.07580249521282,0,0.880001364158885,1,FALSE,FALSE,"BAJA"
"DSG3",-3.92932513067508,5.94845461531985,-3.43361341525014,0.00042279510018732,0.00335475720409794,TRUE,FALSE,"MEDIA (Solo DEG)"
"SBSN",-0.341729500165711,4.68038178254056,0,0.848728692369863,1,FALSE,FALSE,"BAJA"
"C6orf15",-1.11530199829243,2.18023310765122,-0.205913904681599,0.418752543247648,1,FALSE,FALSE,"BAJA"
"KLK7",-1.77023832672819,5.88171072784067,-0.914780725031648,0.181848263261991,0.630495698093242,FALSE,FALSE,"BAJA"
"TRIM29",-1.08781469901776,9.16920035843146,-0.113491198563763,0.458970608942449,1,FALSE,FALSE,"BAJA"
"KLK8",-0.0353259199262563,4.65597987779927,0,0.9837701188634,1,FALSE,FALSE,"BAJA"
"AKR1B15",-0.356544708040154,5.53458887111995,0,0.867382034593752,1,FALSE,FALSE,"BAJA"
"KRT16",0.233153314714627,7.4590422302726,0,0.887838956666034,1,FALSE,FALSE,"BAJA"
"GJB3",0.267003492409235,6.34988856090408,0,0.925123059781429,1,FALSE,FALSE,"BAJA"
"KLK6",-0.593833693228931,5.70136099227271,0,0.713210574120369,1,FALSE,FALSE,"BAJA"
"KRT17",-0.747218451350912,9.32886902344071,0,0.637627909830114,1,FALSE,FALSE,"BAJA"
"KRT6B",-2.94920572575275,6.26974789439848,-2.18676712604908,0.0154692003571441,0.0809773216111231,FALSE,FALSE,"BAJA"
"TMPRSS13",0.25918727221374,9.72447368909455,0,0.944223000341246,1,FALSE,FALSE,"BAJA"
"PQLC2L",-1.14158981173877,5.15655346625126,-0.306043688663757,0.380085272387248,1,FALSE,FALSE,"BAJA"
"LY6D",-1.37083329251363,4.61113123176496,-0.479398044925185,0.317687196925019,0.956406126736629,FALSE,FALSE,"BAJA"
"S100A2",-0.0402390791857421,6.17940238631127,0,0.986166560402444,1,FALSE,FALSE,"BAJA"
"RP11-481F24.3",-1.31643022794876,3.45833723443166,-0.52378851455989,0.30085516391074,0.919783043213101,FALSE,FALSE,"BAJA"
"GPRIN2",0.976713337448789,7.35892998977082,0,0.51675096427516,1,FALSE,FALSE,"BAJA"
"VGLL1",-0.306072185159823,5.55480285521846,0,0.853505744964755,1,FALSE,FALSE,"BAJA"
