"gene","logFC","AveExpr","t","P.Value","adj.P.Val","is_DEG","is_Hub","Priority_Score"
"GJD2",-0.141042499437514,1.7834175146707,0,0.966531655591202,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"RP11-688I9.5",-1.77117296945308,2.87619767741053,-1.64845512017599,0.0510820490102998,0.224054316621417,FALSE,TRUE,"MEDIA (Solo Hub)"
"PRKRIRP8",-1.32041359187403,2.17772065332651,-0.668335324177904,0.252674560138543,0.809891381331979,FALSE,FALSE,"BAJA"
"CTD-3046C4.1",-1.22232943842493,2.19825770907511,-0.470140812715268,0.319604842630561,0.960724910667971,FALSE,FALSE,"BAJA"
"RP11-577N1.2",-2.15476619380297,2.30185549249211,-2.43972677587992,0.0081627463154132,0.046393410858919,TRUE,FALSE,"MEDIA (Solo DEG)"
"NEUROD6",-0.482961717565576,1.7304031189597,0,0.841792263337832,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"GABRA4",-0.658751427554017,3.6866988741897,0,0.719792606916269,1,FALSE,FALSE,"BAJA"
"MMD2",0.00251836824094442,1.49325021319699,0,0.99952970897888,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"C1orf87",-0.419208724263718,2.46564292893252,0,0.882905382645537,1,FALSE,FALSE,"BAJA"
"SLC17A6",-0.597702080316549,1.91447217138942,0,0.782416738234122,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"JAZF1-AS1",-1.66693353680067,3.45181029235787,-1.56202107003371,0.0606036083094573,0.257829834980021,FALSE,FALSE,"BAJA"
"CTC-304I17.1",-0.780591010137791,2.02548899695798,0,0.673030854301782,1,FALSE,FALSE,"BAJA"
"RP11-113E21.3",-1.14603168584151,2.278967711217,-0.305739162541555,0.380204595727515,1,FALSE,FALSE,"BAJA"
"C11orf87",-2.05264331888488,3.56538801752855,-1.99697929357817,0.0241708173886886,0.118452766886263,FALSE,FALSE,"BAJA"
"CTAGE14P",-1.59325774181942,2.92314598576321,-1.25819926251271,0.105516006121545,0.406707453072843,FALSE,FALSE,"BAJA"
"RP11-805I24.3",-0.510715857588158,1.93692387511184,0,0.851588570709892,1,FALSE,FALSE,"BAJA"
"ERICH3-AS1",-1.27764390120796,2.91987479214848,-0.526463451375797,0.299840106598011,0.917705795304385,FALSE,FALSE,"BAJA"
"SBF1P1",-0.718432073087907,2.29442930887301,0,0.711804091723025,1,FALSE,FALSE,"BAJA"
"POU3F4",0.328752409317468,1.88120368303017,0,0.908460112385024,1,FALSE,FALSE,"BAJA"
"PABPC1L2A",0.139864297151914,1.35827824856659,0,0.972254855696686,1,FALSE,FALSE,"BAJA"
"RPH3A",-0.611187445313793,3.78883620318278,0,0.748695482819422,1,FALSE,FALSE,"BAJA"
"CTD-2001J20.1",-0.909721285986492,2.64712733404121,0,0.563769814640753,1,FALSE,FALSE,"BAJA"
"NEFM",-0.133497653026275,3.74077481059138,0,0.953734439781896,1,FALSE,FALSE,"BAJA"
"GABRA1",-0.163842219204345,2.4752551305471,0,0.940039258639474,1,FALSE,FALSE,"BAJA"
