"gene","logFC","AveExpr","t","P.Value","adj.P.Val","is_DEG","is_Hub","Priority_Score"
"IGKV2-24",-1.47186009458363,4.39743468263708,-0.799713988022567,0.212844235801073,0.712008640168861,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGKV4-1",-1.21386427744381,7.91751132637255,-0.30024698780379,0.383486296324997,1,FALSE,FALSE,"BAJA"
"IGLV8-61",-2.18815475524327,4.15501436881381,-1.88211748585991,0.031256184326382,0.147552932309869,FALSE,FALSE,"BAJA"
"IGKV1D-39",-2.01078540216499,8.17319706279917,-1.43777386549417,0.0767141175680714,0.313916579857675,FALSE,FALSE,"BAJA"
"IGHV1-58",-1.15503019036928,2.35616331847476,-0.30198138292259,0.381651130527882,1,FALSE,FALSE,"BAJA"
"IGHV3-72",-1.46449542513996,3.56396723623386,-0.82028562105404,0.206944958283739,0.696910084269563,FALSE,FALSE,"BAJA"
"IGLV4-69",-2.49370865677894,3.42935682285678,-3.06812117121786,0.00136153921249391,0.00960652533866046,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGKV1-5",-2.22312925287563,7.9304858741307,-1.73901330636712,0.0424464305894643,0.191573780807741,FALSE,FALSE,"BAJA"
"IGHV4-34",-1.50060453758639,5.64343033786024,-0.823999843372178,0.205915182149247,0.694618430947867,FALSE,FALSE,"BAJA"
"IGHV3-15",-1.82603264053357,5.92102108815451,-1.28798287345657,0.100264141069872,0.39038504049916,FALSE,FALSE,"BAJA"
"IGKV2-28",-1.10464038016174,6.92208906772555,-0.145887061766098,0.444183350982836,1,FALSE,FALSE,"BAJA"
"IGKV3-20",-1.67155177065854,8.49351918465174,-0.961336151999882,0.169374637451675,0.59632084475623,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGKV3-15",-1.51826735127817,7.44513713792551,-0.718423437676116,0.237372623150815,0.771694776736321,FALSE,FALSE,"BAJA"
"IGHG2",-1.78121351501859,9.73204796869407,-1.34298450013983,0.0910483725727006,0.360730634501566,FALSE,FALSE,"BAJA"
"IGLV1-51",-2.25406911601324,6.44409703044773,-2.2166003459961,0.0143728540422767,0.075910322315028,FALSE,FALSE,"BAJA"
"IGKV3-11",-2.35157734494058,9.23756047863855,-1.88782568817003,0.0308701779398202,0.146093242317254,FALSE,FALSE,"BAJA"
"IGKC",-2.67030009240218,12.1913246075195,-2.43250783031255,0.00831867543037016,0.0471510153426034,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGLV2-23",-1.89732696202932,6.86634589884518,-1.29998063636177,0.098214761714507,0.383429307980112,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGKV1-17",-1.85466776200708,5.70512439913939,-1.28032351759789,0.101607116811411,0.394385608120375,FALSE,FALSE,"BAJA"
"IGLC2",-2.77811564657339,10.3065556544955,-2.6229097406442,0.00498891434552701,0.0302048200217806,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGHV1-24",-1.90769807097751,4.84941879404226,-1.27651811455121,0.102296368413262,0.396638666325509,FALSE,FALSE,"BAJA"
"IGLV2-11",-2.45632254250259,6.49529448541928,-2.36717106606993,0.00985211755960318,0.0545839999326021,FALSE,FALSE,"BAJA"
"IGJ",-3.93679108885794,9.28352665746826,-5.3004137927956,3.08289664924246e-07,5.01609870575144e-06,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGKV1-6",-2.10091815542849,4.85664146523349,-1.74874781425333,0.0415887640495429,0.188363520154824,FALSE,FALSE,"BAJA"
"IGHV3-23",-1.2785666367161,7.70604680808084,-0.406340238115988,0.343254817019546,1,FALSE,FALSE,"BAJA"
"IGLV2-14",-2.95554948337611,7.68034809489084,-3.08712135715445,0.0012841146083297,0.00911014121980725,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGHG3",-2.0765147036958,9.08571892652762,-1.62259546773092,0.0538000338437873,0.234051812740716,FALSE,FALSE,"BAJA"
"IGHV1-46",-1.32719993122445,5.17629977819055,-0.522477926954923,0.301364743499701,0.92082619300223,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGLV1-40",-2.02027519547762,6.23521782120622,-1.54022078449494,0.0632218237638407,0.26717678289535,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGHV1-2",-0.608940363796707,5.99349424191963,0,0.727572414762873,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGHV3-48",-1.36603182045544,4.95823852202982,-0.546604292837161,0.293191424354088,0.902597185360262,FALSE,TRUE,"MEDIA (Solo Hub)"
"IGHV3-33",-1.43182898360523,6.42495537452288,-0.59219043118985,0.278065102067388,0.869490018986018,FALSE,FALSE,"BAJA"
"IGHA2",-2.45612505912327,7.90478135182391,-2.3453718816098,0.0104168774023065,0.0572418010682886,FALSE,FALSE,"BAJA"
"IGHV1-69-2",-0.792372142255347,6.37921031076451,0,0.617563472130992,1,FALSE,FALSE,"BAJA"
"IGHA1",-2.21194572911116,10.4278080496052,-1.91935184446865,0.0287894868431901,0.137570732674012,FALSE,FALSE,"BAJA"
"IGHV2-70",-2.20787585981557,4.65160670167314,-1.81011439617627,0.0365312269971525,0.168577177668488,FALSE,FALSE,"BAJA"
"IGHV3-7",-1.58700007578063,5.94947148165013,-0.867277555027892,0.1939666615494,0.663157722599777,FALSE,FALSE,"BAJA"
"IGLV3-21",-1.18866455428185,6.69489228594221,-0.245046925733718,0.406116910369199,1,FALSE,FALSE,"BAJA"
"IGHV4-39",-1.1718544372889,6.93668161324505,-0.241747522181674,0.40613387800045,1,FALSE,FALSE,"BAJA"
"IGKV1-33",-2.38710940077526,7.58719119502606,-1.88570844803532,0.031015592521296,0.14663866479271,FALSE,FALSE,"BAJA"
"IGKV1-16",-2.11123835228044,5.58037348547793,-1.75672131203965,0.0409006610757773,0.185708356515921,FALSE,FALSE,"BAJA"
"IGHV3-30",-1.07397373519217,7.43705738736623,-0.110119569588459,0.457542489904925,1,FALSE,FALSE,"BAJA"
"IGHV3-11",-1.56577691269328,6.21344468373203,-0.818456854465776,0.207612528264436,0.698513021887542,FALSE,FALSE,"BAJA"
"IGHV4-28",-0.957481824680986,3.71532158202193,0,0.529753757793421,1,FALSE,FALSE,"BAJA"
"IGHV4-59",-1.17980392010606,6.89637737842855,-0.256389856954648,0.400271396706533,1,FALSE,FALSE,"BAJA"
"IGHV3-21",-1.58857075077608,6.79292156588076,-0.863254812582244,0.195076010250539,0.665857824971258,FALSE,FALSE,"BAJA"
"IGLV1-44",-1.99321015969047,5.75870024517937,-1.47817418318166,0.0711454398549413,0.294964018244423,FALSE,FALSE,"BAJA"
"IGHV4-55",-0.948189674064527,2.65582871096429,0,0.542030200180815,1,FALSE,FALSE,"BAJA"
"IGHV3-74",-1.93979655235903,5.88821788574571,-1.75173337265861,0.0413286091465313,0.187379202837206,FALSE,FALSE,"BAJA"
"IGLV1-47",-2.40939341731236,5.35644799359065,-2.18622388520436,0.015478615318627,0.0810022260848569,FALSE,FALSE,"BAJA"
"IGHV3-49",-1.35904470025659,5.01525561975623,-0.57341258703197,0.283912913075007,0.882665939945834,FALSE,FALSE,"BAJA"
"IGLL5",-2.34586828260038,7.66231043233828,-1.95378017273767,0.0266580941258492,0.128764068690015,FALSE,FALSE,"BAJA"
"IGHV4-31",-0.53783291290432,5.3671139388803,0,0.758570472118382,1,FALSE,FALSE,"BAJA"
"IGKV1-27",-2.41804235420274,5.36384218126998,-2.1906913408062,0.0153115390971323,0.0802576325120081,FALSE,FALSE,"BAJA"
"IGLC3",-2.66435101129869,9.32399228039495,-2.43376371474068,0.00829138970921265,0.0470207235978577,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGLV3-1",-1.72943593322275,6.47960063606251,-1.00736368141151,0.158138874273604,0.564623145684569,FALSE,FALSE,"BAJA"
"IGHV2-5",-2.08180905070492,5.49195719013274,-1.42073509061156,0.0791853805844398,0.322071095224543,FALSE,FALSE,"BAJA"
"IGHV2-26",-2.02247470757483,3.88709028825214,-1.74388911121772,0.0420117909805738,0.190063062659711,FALSE,FALSE,"BAJA"
"IGKV1-8",-1.1851113841765,5.29873922752315,-0.285439592721413,0.388449476220331,1,FALSE,FALSE,"BAJA"
"FCRL5",-4.01018276088795,7.37233321174308,-5.17688257611586,5.25552418679866e-07,8.14811106381343e-06,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGHV3-53",-1.36466930928446,4.28188356232755,-0.592331297741432,0.277536681539738,0.869047186195204,FALSE,FALSE,"BAJA"
"IGKV1-9",-2.34061610736953,5.91954154386215,-2.18009793147652,0.0157101602442877,0.0820423646464643,FALSE,FALSE,"BAJA"
"IGLV3-25",-1.87496635635415,6.19704892630164,-1.26283091959619,0.104717523493034,0.404235140979992,FALSE,FALSE,"BAJA"
"IGHV4-61",-1.22734929743394,5.89173772762922,-0.344551176596935,0.366062859822856,1,FALSE,FALSE,"BAJA"
"IGLC1",-2.92494129942814,8.95729578083661,-3.13411171131608,0.00110981132072415,0.0079796984230605,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGHG1",-1.85405079078537,12.6942391301179,-1.21811772484523,0.112960962001808,0.430193698982485,FALSE,FALSE,"BAJA"
"IGLV2-8",-2.37720662818996,5.69917858325965,-2.36870741834722,0.00981331446510129,0.0544241519174942,FALSE,FALSE,"BAJA"
"IGHV3-73",-1.30285459797499,3.7950918830766,-0.491620487405206,0.312141546158894,0.944698135388953,FALSE,FALSE,"BAJA"
"IGHG4",-1.64218823023451,8.67239198239016,-1.05835150592784,0.146142973992891,0.529571591695955,FALSE,FALSE,"BAJA"
"IGHGP",-2.48230405819836,6.79617776552665,-2.41004544331261,0.00881992673784351,0.0496512396595637,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGLV6-57",-2.00311426632927,5.22568121475204,-1.58498324679686,0.0579494973992743,0.248715559173342,FALSE,FALSE,"BAJA"
"IGHV5-51",-1.42551070707036,6.42269424324146,-0.611175685027499,0.27154093441819,0.855324619342309,FALSE,FALSE,"BAJA"
"IGHV1-18",-1.07526006616211,6.39544643541372,-0.101794168772642,0.462521882844017,1,FALSE,FALSE,"BAJA"
"IGLV3-19",-1.85971106726477,6.62055097122621,-1.26054806966871,0.105121776505454,0.405491899565553,FALSE,FALSE,"BAJA"
"IGKV1D-13",-1.40255531361302,3.67125116295964,-0.636749131322026,0.262937193752556,0.834532325067961,FALSE,FALSE,"BAJA"
"IGKV3D-11",-1.50494299741574,2.79297109303305,-1.0653620936084,0.144543801795292,0.525648775342665,FALSE,FALSE,"BAJA"
"IGKV1-12",-0.507598081207556,4.5086483691775,0,0.788897399136901,1,FALSE,FALSE,"BAJA"
"CD79A",-1.99520403812348,5.17639655527976,-2.01631828138308,0.0231238124031716,0.114111554281927,FALSE,FALSE,"BAJA"
"IGHV1-69",-1.34336186961064,4.94075501224579,-0.432387537877009,0.335103543469236,0.993457801454535,FALSE,FALSE,"BAJA"
"IGHV6-1",-0.624701738610427,3.10728906013484,0,0.727347348238487,1,FALSE,FALSE,"BAJA"
"IGKV3D-20",-1.56666392982158,3.56449820495922,-0.914324061811263,0.181325565020417,0.629182022426307,FALSE,FALSE,"BAJA"
"IGHV4-4",-1.28965870577137,4.74073211023592,-0.386729369335943,0.351267537781557,1,FALSE,FALSE,"BAJA"
"IGHV3-13",-1.2845322964752,3.41410679291553,-0.52382621344419,0.300763030999502,0.919565627693238,FALSE,FALSE,"BAJA"
"IGLV7-43",-1.89034136176579,3.77838003707123,-1.61255065946266,0.054880019144508,0.237910465954491,FALSE,FALSE,"BAJA"
"IGLV2-18",-1.53680826835377,2.6276741347789,-1.01013774152333,0.157345858161821,0.562112842842817,FALSE,FALSE,"BAJA"
"IGKV1D-16",-1.55154843213568,2.62159552942532,-1.11553400404739,0.133548803436709,0.494247501042222,FALSE,FALSE,"BAJA"
"IGHM",-2.14416110408733,9.635479014563,-1.90570935851154,0.0296731176064143,0.141125545676727,FALSE,FALSE,"BAJA"
"IGHV3-66",-1.46770453209598,3.63064413716628,-0.767099536103718,0.222396417424533,0.735360342741699,FALSE,FALSE,"BAJA"
"IGLV3-9",-1.6447361548321,2.97388873940158,-1.12367368317359,0.131826460380583,0.489241775771589,FALSE,FALSE,"BAJA"
"IGHV3-43",-0.825860985731386,3.32541188093633,0,0.626645278805491,1,FALSE,FALSE,"BAJA"
"IGLV1-36",-0.809517944243618,2.88659512149164,0,0.630100932890728,1,FALSE,FALSE,"BAJA"
"IGLV3-10",-2.68108589127068,4.01147794359406,-2.55687247149519,0.00597501429468708,0.0353555349501149,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGLV10-54",-0.764218128043926,2.52385535628473,0,0.6649619207468,1,FALSE,FALSE,"BAJA"
"IGKV2D-28",-2.79686201794654,3.49280890105726,-3.27772800208159,0.00070394222439144,0.00528617789001981,TRUE,FALSE,"MEDIA (Solo DEG)"
"IGLV9-49",-0.708454687274656,2.67122217271182,0,0.736738398596741,1,FALSE,FALSE,"BAJA"
