"gene","logFC","AveExpr","t","P.Value","adj.P.Val","is_DEG","is_Hub","Priority_Score"
"AC079466.1",-0.971163612213223,2.84345124399751,0,0.522053636349921,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"FAM99A",1.02960410189218,1.85837059063981,0.0497758496177782,0.480649804366297,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"SLC2A2",-0.798771597968759,4.14855109525004,0,0.615784910089946,1,FALSE,FALSE,"BAJA"
"CPN1",1.72517802743959,1.91048459710228,1.20507259793429,0.115411639362842,0.437867676500439,FALSE,TRUE,"MEDIA (Solo Hub)"
"A1CF",-0.237360511649926,6.34764686083853,0,0.915001590235046,1,FALSE,FALSE,"BAJA"
"UGT2A3",0.819040418900413,2.46197298144838,0,0.612821303382862,1,FALSE,FALSE,"BAJA"
"CPN2",0.388352929181245,4.39895149818736,0,0.837170496477192,1,FALSE,FALSE,"BAJA"
"ASGR2",1.46149240972633,4.94657029801176,0.811624717084023,0.209412469059337,0.70327098144643,FALSE,FALSE,"BAJA"
"ALDOB",0.96095374494155,6.1253418044286,0,0.526539786327404,1,FALSE,TRUE,"MEDIA (Solo Hub)"
"UGT1A9",1.16870977240981,2.26779021894826,0.268615735895606,0.394765172752002,1,FALSE,FALSE,"BAJA"
"HNF4A",0.887261607342573,4.44197159254757,0,0.566942756533303,1,FALSE,FALSE,"BAJA"
"APCS",2.24165974467737,3.06881957054325,1.41126772650316,0.080699295694427,0.32707323624109,FALSE,TRUE,"MEDIA (Solo Hub)"
"PLA2G12B",0.843653772892241,2.34268084000353,0,0.611699769709179,1,FALSE,FALSE,"BAJA"
"C9",0.729512770823001,4.00344298910285,0,0.647659955135106,1,FALSE,FALSE,"BAJA"
"CCL16",-1.02948056661974,3.8477500763177,-0.0588046962356901,0.476656792051603,1,FALSE,FALSE,"BAJA"
"LINC00261",1.14402293622689,3.75033772908221,0.20814857651411,0.418991575904326,1,FALSE,FALSE,"BAJA"
"CYP1A2",1.29619004746704,2.38678631770041,0.504544627952878,0.307533358542953,0.934648478950492,FALSE,FALSE,"BAJA"
"SLC39A5",-0.131311880779895,4.76678744840299,0,0.982535019730596,1,FALSE,FALSE,"BAJA"
"DPYS",0.83530311559733,5.19453933526123,0,0.61065662196515,1,FALSE,FALSE,"BAJA"
"FGF23",0.353514755870421,3.5272745547507,0,0.879348821089238,1,FALSE,FALSE,"BAJA"
"SLC22A7",-0.173235658623411,3.88153403634196,0,0.93849416523261,1,FALSE,FALSE,"BAJA"
